# 自定义优先规则词表（PriorityWords）配置说明
# 编码格式：必须使用 UTF-8 编码存储
# 匹配机制：处理时采用【大小写敏感】的精确比对

# 【一、 基础语法格式】
# 格式要求：词条 [Tab分隔符] 拼音
# 如：你好	ni hao
# 1. 每行只能配置一个词条
# 2. 词条与读音之间使用单个Tab 键进行分隔 
# 3. 汉字拼音中的每个字拼音音节之间必须使用单个空格进行分隔，如ni hao
# 4. 支持使用 '#' 作为注释行的开头，允许使用空格排版，注释行不允许tab键，具体语法参考本页注释写法
# 5. 自动忽略空行、纯空格或tab行

# 【二、 重要注意事项】

# 1. 仅支持【纯中文词条】的注音
# 2. 不支持任何包含英文字母、数字或混合符号的词条。输入不会出现报错，但转换结果与预期不一致会出现谬误
# 3. 若本表中存在完全相同的词条，即保留第一条配置作为读音，默认忽略后续的重复词条
# 4. 此优先规则词表非强制要求搭配程序运行，但推荐配合使用。所有词条规则可自定义按需增删修改，预写规则用于辅助增强直接使用或作为自定义修改基础范本。



心事重重	xin shi chong chong
十八重地狱	shi ba chong di yu
西藏	xi zang
青藏	qing zang
藏族	zang zu
宝藏	bao zang
藏獒	zang ao
藏文	zang wen
藏语	zang yu
藏袍	zang pao
藏独	zang du
三藏	san zang
藏红花	zang hong hua
藏南	zang nan
藏喜马拉雅	zang xi ma la ya
藏医	zang yi
藏历	zang li
藏戏	zang xi
藏民	zang min
藏药	zang yao
藏胞	zang bao
笑里藏刀	xiao li cang dao
藏刀	zang dao
汉藏	han zang
川藏	chuan zang
滇藏	dian zang
新藏	xin zang
蒙藏	meng zang
藏缅	zang mian
藏传	zang chuan
藏原羚	zang yuan ling
藏羚羊	zang ling yang
仔细	zi xi
主角	zhu jue
角色	jue se
角逐	jue zhu
角调	jue diao
配角	pei jue
丑角	chou jue
名角	ming jue
口角	kou jue
旦角	dan jue
角斗士	jue dou shi
角斗	jue dou
便宜	pian yi
大腹便便	da fu pian pian
呼吁	hu yu
吁请	yu qing
着了	zhao le
着重	zhuo zhong
着力	zhuo li
着眼	zhuo yan
穿着	chuan zhuo
着急	zhao ji
着手	zhuo shou
着想	zhuo xiang
着装	zhuo zhuang
睡着	shui zhao
衣着	yi zhuo
着实	zhuo shi
附着	fu zhuo
身着	shen zhuo
沉着	chen zhuo
着陆	zhuo lu
着落	zhuo luo
着火	zhao huo
着迷	zhao mi
烧着	shao zhao
着魔	zhao mo
着笔	zhuo bi
着忙	zhao mang
执着	zhi zhuo
胶着	jiao zhuo
着凉	zhao liang
着意	zhuo yi
正着	zheng zhao
不着	bu zhao
着墨	zhuo mo
失着	shi zhao
该着	gai zhao
着慌	zhao huang
点着	dian zhao
吓着	xia zhao
没完没了	mei wan mei liao
没收	mo shou
淹没	yan mo
罚没	fa mo
没落	mo luo
吞没	tun mo
埋没	mai mo
没入	mo ru
隐没	yin mo
浸没	jin mo
没顶	mo ding
沉没	chen mo
出没	chu mo
湮没	yan mo
辱没	ru mo
抄没	chao mo
陷没	xian mo
没膝	mo xi
没药	mo yao
没奈何	mo nai he
没齿	mo chi
神出鬼没	shen chu gui mo
功不可没	gong bu ke mo
全军覆没	quan jun fu mo
月没参横	yue mo shen heng
一宿	yi xiu
半宿	ban xiu
两宿	liang xiu
二十八宿	er shi ba xiu
角宿	jiao xiu
亢宿	kang xiu
氐宿	di xiu
房宿	fang xiu
心宿	xin xiu
尾宿	wei xiu
箕宿	ji xiu
斗宿	dou xiu
牛宿	niu xiu
女宿	nv xiu
虚宿	xu xiu
危宿	wei xiu
室宿	shi xiu
壁宿	bi xiu
奎宿	kui xiu
娄宿	lou xiu
胃宿	wei xiu
昴宿	mao xiu
毕宿	bi xiu
觜宿	zi xiu
参宿	shen xiu
井宿	jing xiu
鬼宿	gui xiu
柳宿	liu xiu
星宿	xing xiu
张宿	zhang xiu
翼宿	yi xiu
轸宿	zhen xiu
薄弱	bo ruo
轻薄	qing bo
薄荷	bo he
浅薄	qian bo
稀薄	xi bo
刻薄	ke bo
薄舌	bo she
厚薄	hou bo
薄命	bo ming
绵薄	mian bo
薄情	bo qing
微薄	wei bo
喷薄	pen bo
淡薄	dan bo
薄雾	bo wu
薄暮	bo mu
薄近	bo jin
薄海	bo hai
薄幸	bo xing
命薄	ming bo
鄙薄	bi bo
菲薄	fei bo
薄利	bo li
薄面	bo mian
薄酒	bo jiu
瘠薄	ji bo
薄礼	bo li
薄葬	bo zang
厚此薄彼	hou ci bo bi
义薄云天	yi bo yun tian
日薄西山	ri bo xi shan
喷薄欲出	pen bo yu chu
广种薄收	guang zhong bo shou
厚古薄今	hou gu bo jin
厚今薄古	hou jin bo gu
薄技在身	bo ji zai shen
尖嘴薄舌	jian zui bo she
单薄	dan bo
势单力薄	shi dan li bo
翅膀	chi bang
肩膀	jian bang
膀子	bang zi
膀大腰圆	bang da yao yuan
了得	liao de
不得了	bu de liao
了不得	liao bu de
受得了	shou de liao
算得了	suan de liao
怎么得了	zen me de liao
够得着	gou de zhao
用得着	yong de zhao
犯得着	fan de zhao
数得着	shu de zhao
还得	hai dei
就得	jiu dei
先得	xian dei
也得	ye dei
得见	dei jian
得有	dei you
得快	dei kuai
总得	zong dei
非得	fei dei
得要	dei yao
你得	ni dei
他得	ta dei
得人	dei ren
这得	zhe dei
得空	dei kong
又得	you dei
我得	wo dei
可得	ke dei
露着	lou zhe
露宿	lu su
餐风宿露	can feng su lu
泄露	xie lou
露面	lou mian
露脸	lou lian
露头	lou tou
露馅	lou xian
露富	lou fu
露底	lou di
露丑	lou chou
露出	lou chu
露怯	lou qie
露马脚	lou ma jiao
露一手	lou yi shou
陆分	liu fen
陆角	liu jiao
陆元	liu yuan
陆拾	liu shi
陆佰	liu bai
陆仟	liu qian
陆万	liu wan
陆亿	liu yi
六安	lu an
对称	dui chen
称职	chen zhi
相称	xiang chen
称心	chen xin
匀称	yun chen
出差	chu chai
差事	chai shi
公差	gong chai
邮差	you chai
钦差	qin chai
交差	jiao chai
差人	chai ren
苦差	ku chai
信差	xin chai
当差	dang chai
差遣	chai qian
差使	chai shi
官差	guan chai
美差	mei chai
参差	cen ci
差旅费	chai lv fei
开小差	kai xiao chai
鬼使神差	gui shi shen chai
吴王夫差	wu wang fu chai
刹车	sha che
脚刹	jiao sha
手刹	shou sha
刹住	sha zhu
刹闸	sha zha
柏林	bo lin
黄柏	huang bo
柏拉图	bo la tu
张柏芝	zhang bo zhi
堵塞	du se
阻塞	zu se
闭塞	bi se
鼻塞	bi se
梗塞	geng se
搪塞	tang se
语塞	yu se
拥塞	yong se
充塞	chong se
填塞	tian se
淤塞	yu se
壅塞	yong se
栓塞	shuan se
堰塞湖	yan se hu
茅塞顿开	mao se dun kai
顿开茅塞	dun kai mao se
闭目塞听	bi mu se ting
湖泊	hu po
镜泊湖	jing po hu
水泊梁山	shui po liang shan
侠传	xia zhuan
外传	wai zhuan
自传	zi zhuan
言归正传	yan gui zheng zhuan
列传	lie zhuan
小传	xiao zhuan
传略	zhuan lue
内传	nei zhuan
新传	xin zhuan
别传	bie zhuan
贤传	xian zhuan
全传	quan zhuan
传记	zhuan ji
后传	hou zhuan
左传	zuo zhuan
水浒传	shui hu zhuan
白蛇传	bai she zhuan
纪传体	ji zhuan ti
树碑立传	shu bei li zhuan
经传	jing zhuan
射雕英雄传	she diao ying xiong zhuan
三国群英传	san guo qun ying zhuan
朝露	zhao lu
朝气	zhao qi
朝阳	zhao yang
今朝	jin zhao
昨朝	zuo zhao
明朝	ming zhao
朝霞	zhao xia
